Common Name,Scientific Name,Status,Group
"Gopher, Yelm pocket",Thomomys mazama yelmensis,Threatened,Mammals
Goral,Naemorhedus goral,Endangered,Mammals
Gorilla,Gorilla gorilla,Endangered,Mammals
"Hare, Hispid",Caprolagus hispidus,Endangered,Mammals
"Hartebeest, Swayne's",Alcelaphus buselaphus swaynei,Endangered,Mammals
"Hartebeest, tora",Alcelaphus buselaphus tora,Endangered,Mammals
"Hog, pygmy",Sus salvanius,Endangered,Mammals
"Horse, Przewalski's",Equus przewalskii,Endangered,Mammals
"Huemul, North Andean",Hippocamelus antisensis,Endangered,Mammals
"Huemul, South Andean",Hippocamelus bisulcus,Endangered,Mammals
"Hutia, Cabrera's",Capromys angelcabrerai,Endangered,Mammals
"Hutia, dwarf",Capromys nana,Endangered,Mammals
"Hutia, large-eared",Capromys auritus,Endangered,Mammals
"Hutia, little earth",Capromys sanfelipensis,Endangered,Mammals
"Hyena, Barbary",Hyaena hyaena barbara,Endangered,Mammals
"Hyena, brown",Parahyaena (=Hyaena) brunnea,Endangered,Mammals
"Ibex, Pyrenean",Capra pyrenaica pyrenaica,Endangered,Mammals
"Ibex, walia",Capra walie,Endangered,Mammals
"Impala, black-faced",Aepyceros melampus petersi,Endangered,Mammals
Jaguar,Panthera onca,Endangered,Mammals
"Jaguarundi, Guatemalan",Herpailurus (=Felis) yagouaroundi fossata,Endangered,Mammals
"Jaguarundi, Gulf Coast",Puma yagouaroundi cacomitli,Endangered,Mammals
"Jaguarundi, Panamanian",Herpailurus (=Felis) yagouaroundi panamensis,Endangered,Mammals
"Jaguarundi, Sinaloan",Puma yagouaroundi tolteca,Endangered,Mammals
"Kangaroo, Tasmanian forester",Macropus giganteus tasmaniensis,Endangered,Mammals
Koala,Phascolarctos cinereus,Threatened,Mammals
Kouprey,Bos sauveli,Endangered,Mammals
"Langur, capped",Trachypithecus (=Presbytis) pileatus,Endangered,Mammals
"Langur, Douc",Pygathrix nemaeus,Endangered,Mammals
"Langur, Francois'",Trachypithecus (=Presbytis) francoisi,Endangered,Mammals
"Langur, golden",Trachypithecus (=Presbytis) geei,Endangered,Mammals
"Langur, gray (=entellus)",Semnopithecus (=Presbytis) entellus,Endangered,Mammals
"Langur, long-tailed",Presbytis potenziani,Threatened,Mammals
"Langur, Pagi Island",Nasalis concolor,Endangered,Mammals
